id,item,canvas,canvasNum,tags,texts,xywh,clippingURL,clippingImage
50d37365-2c46-4bcf-be6e-b6f8fb4b0b60,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$95/canvas,95,advertisement,Feminist Studies,"51,907,1185,1481","https://iiif.archivelab.org/iiif/heresies_17$95/51,907,1185,1481/full/0/default.jpg",clippings/heresies_17/95/95-advertisement-feminist-studies-51-907-1185-1481.jpg
78611ce3-cfc0-4971-b43a-fe4b20af4344,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$95/canvas,95,advertisement,Feminist Arts Journal,"1288,184,1139,1366","https://iiif.archivelab.org/iiif/heresies_17$95/1288,184,1139,1366/full/0/default.jpg",clippings/heresies_17/95/95-advertisement-feminist-arts-journal-1288-184-1139-1366.jpg
7bfa4ba2-edeb-49c5-b4a3-260f6ed39999,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$95/canvas,95,advertisement,TSL Press/Mussman Bruce Publishers,"141,175,1093,716","https://iiif.archivelab.org/iiif/heresies_17$95/141,175,1093,716/full/0/default.jpg",clippings/heresies_17/95/95-advertisement-tsl-pressmussman-bruce-publishers-141-175-1093-716.jpg
6abe0163-8384-4752-95a6-b4f8ea3b8de7,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$95/canvas,95,advertisement,Women's International Resource Exchange,"116,2404,1112,800","https://iiif.archivelab.org/iiif/heresies_17$95/116,2404,1112,800/full/0/default.jpg",clippings/heresies_17/95/95-advertisement-womens-international-resource-exchange-116-2404-1112-800.jpg
19b7c6eb-1e44-42c8-8652-c96047170794,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$95/canvas,95,advertisement,"NYFAI/Women's Center for Learning 
 Title: Celebrating Our Fifth Year","1255,1613,1173,1599","https://iiif.archivelab.org/iiif/heresies_17$95/1255,1613,1173,1599/full/0/default.jpg",clippings/heresies_17/95/95-advertisement-nyfaiwomens-center-for-learning--title--celebrating-our-fifth-year-1255-1613-1173-1599.jpg
11ec192d-a587-452c-ac3a-345aef92f4ca,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$96/canvas,96,advertisement,Women's Studies International Forum,"216,1812,1426,664","https://iiif.archivelab.org/iiif/heresies_17$96/216,1812,1426,664/full/0/default.jpg",clippings/heresies_17/96/96-advertisement-womens-studies-international-forum-216-1812-1426-664.jpg
ae8e86ff-d749-4855-992e-56f98ce51955,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$96/canvas,96,advertisement,Women &amp; Performance,"1664,1837,784,1353","https://iiif.archivelab.org/iiif/heresies_17$96/1664,1837,784,1353/full/0/default.jpg",clippings/heresies_17/96/96-advertisement-women--amp--performance-1664-1837-784-1353.jpg
e72855ad-7765-4b1a-bad9-c5420e6f4981,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$96/canvas,96,advertisement,"Alternative Press Center 
 Title: Social Change Tool for the 80's ... a quarterly subject index to over 150 alternative publications.","236,2503,1405,687","https://iiif.archivelab.org/iiif/heresies_17$96/236,2503,1405,687/full/0/default.jpg",clippings/heresies_17/96/96-advertisement-alternative-press-center--title--social-change-tool-for-the-80s-----a-quarterly-subject-index-to-over-150-alternative-publications--236-2503-1405-687.jpg
41dd260c-d958-4e1e-a91e-a7854a589d0f,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$96/canvas,96,advertisement,Sinister Wisdom,"229,163,702,951","https://iiif.archivelab.org/iiif/heresies_17$96/229,163,702,951/full/0/default.jpg",clippings/heresies_17/96/96-advertisement-sinister-wisdom-229-163-702-951.jpg
63c7c7fe-570e-449a-8e6c-433b156adc08,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$96/canvas,96,advertisement,Womansplace Bookstore,"974,610,719,539","https://iiif.archivelab.org/iiif/heresies_17$96/974,610,719,539/full/0/default.jpg",clippings/heresies_17/96/96-advertisement-womansplace-bookstore-974-610-719-539.jpg
ed80b4fb-d1b0-4c8a-8be1-0e5b2c848260,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$96/canvas,96,advertisement,SAGE,"948,231,763,270","https://iiif.archivelab.org/iiif/heresies_17$96/948,231,763,270/full/0/default.jpg",clippings/heresies_17/96/96-advertisement-sage-948-231-763-270.jpg
225079ac-9185-44c0-865c-0d02054f64bb,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$96/canvas,96,advertisement,WomaNews,"191,1193,1519,560","https://iiif.archivelab.org/iiif/heresies_17$96/191,1193,1519,560/full/0/default.jpg",clippings/heresies_17/96/96-advertisement-womanews-191-1193-1519-560.jpg
efd9eade-d8a0-4d0f-837a-9ea72239e9df,heresies_17,https://iiif.archivelab.org/iiif/heresies_17$96/canvas,96,advertisement,m/f,"1733,154,690,1673","https://iiif.archivelab.org/iiif/heresies_17$96/1733,154,690,1673/full/0/default.jpg",clippings/heresies_17/96/96-advertisement-mf-1733-154-690-1673.jpg
